127.0.0.1 - - [25/Mar/2025:17:20:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Mar/2025:17:26:50 +0900] "GET /project/footer.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [25/Mar/2025:17:26:50 +0900] "GET /project/footer.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [25/Mar/2025:17:26:56 +0900] "GET /project/footer.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [25/Mar/2025:17:26:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Mar/2025:17:27:05 +0900] "GET /project/footer.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [25/Mar/2025:17:27:05 +0900] "GET /project/footer.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [25/Mar/2025:17:27:05 +0900] "GET /project/footer.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [25/Mar/2025:17:27:07 +0900] "GET /project/footer.jsp HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [25/Mar/2025:17:27:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Mar/2025:17:27:18 +0900] "GET /project/footer.jsp HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [25/Mar/2025:17:27:18 +0900] "GET /project/footer.jsp HTTP/1.1" 200 406
